福康安,主要作品,《重修昭觉寺志》《寄惠椿亭侍郎》
李秋水,武功,北冥神功 
全金发,弟子,郭靖
神照上人,劲敌,杨溢之
冯蘅,中文名,冯蘅
贝海石,主要成就,拥立傀儡
鹤笔翁,登场作品,《倚天屠龙记》
程灵素,中文名,程灵素
李可秀,职务,直隶古北口提督
吴六奇,主要成就,组织团练
慕容博,好友,鸠摩智
九难,别名,长平公主
乔峰,参与战役,少室山武林群雄大会
蒋四根,兵刃,铁桨打横
小龙女,所习武功,《九阴真经》
包不同,性别,男
钱均夫,主要成就,国民政府浙江省教育厅厅长
尹克西,身份,蒙古三杰之一
空闻,登场作品,《倚天屠龙记》
汤沛,人物设定,三才剑掌门人
鳌拜,民族,满族
任盈盈,乐器,七弦琴
杨逍,朝代,元朝
全金发,登场作品,《射雕英雄传》
范遥,不睦之人,韦一笑
岳不群,弟子,令狐冲
朱长龄,别名,惊天一笔
史火龙,登场作品,《倚天屠龙记》
邓炳春,教主,洪安通
焦公礼,人物出处,《碧血剑》
蕊初,登场作品,《鹿鼎记》
九难,年龄,十五岁（碧血剑）
蕊初,别名,小宫女
天松道人,角色关系,掌门天门真人的师弟
郭芙,别名,大姐
天门道人,个性,嫉恶如仇、性子刚烈
杨逍,属下,天地风雷四门
张三丰,主要成就,振兴道教[10]
穆旦,职业,翻译家
胡夫人,儿子,胡斐
孙不二,字号,清静散人
段正严,年号,广运
南海鳄神,徒弟,孙三霸
归辛树,弟子,没影子梅剑和
黄药师,齐名者,段智兴
王重阳,主要成就,领兵抗金
石中玉,父亲,石清
张君宝,出生地,辽东懿州
鳌拜,别名,Oboi
黄蓉,别名,蓉妹妹
林平之,籍贯,福建省福州市
裘千尺,出场回数,5回
玄苦,性别,男
无嗔大师,师弟,石万嗔
鸠摩智,民族,藏族
段正严,年号,文治
仪琳,中文名,仪琳
宋远桥,中文名,宋远桥
俞岱岩,登场作品,《倚天屠龙记》
樊一翁,结局,被金轮法王所杀
胡青羊,中文名,胡青羊
袁承志,岳父,金蛇郎君
萧远山,国籍,辽国
张康年,登场作品,《鹿鼎记》
邓百川,国籍,中国
忽必烈,民族族群,蒙古族
公孙止,出生地,绝情谷
瘦头陀,终结者,归辛树
萧峰,主要成就,助辽平定楚王之乱
石清,门派,上清观
谢烟客,性别,男
黄药师,身份,东海桃花岛主
花万紫,门派,雪山派
陆菲青,武器,「白龙剑」
陆二娘,女儿,陆无双
阿青,爱人,范蠡
殷素素,民族,汉族
蒋四根,性别,男
仪琳,性别,女
关明梅,好友,绵里针陆菲青
安小慧,出场作品,《碧血剑》
杨过,师傅,小龙女
梁子翁,敌人,郭靖等
金庸,出生日期,1924年3月10日(农历二月初六)
丁不四,别名,一日不过四
裘千尺,别名,铁掌莲花
胡斐,性别,男
刘一舟,结局,被韦小宝借吴三桂之手除掉
钱永刚,国籍,中国
李莫愁,民族,汉族
聂卫平,主要成就,1975-1983年6夺中国个人赛冠军
灭绝师太,身份,峨嵋派第三代掌门
刀白凤,性别,女
小龙女,所习武功,《玉女心经》
张三丰,出生日期,4月9日
黄蓉,登场作品,《射雕英雄传》
尹克西,结局,在昆仑山与潇湘子互斗而死
陈正德,中文名,陈正德
查传倜,祖籍,[1]
裘千丈,中文名,裘千丈
林平之,父母,林震南
袁紫衣,武器,银丝软鞭
金庸,中文名,查良镛
萧远山,主要成就,雁门关大战
阿九,师父,程青竹 木桑道长
杨逍,所属,明教
云中鹤,主要成就,新月派代表诗人
朱由榔,谥号,应天推道敏毅恭俭经文纬武体仁克孝匡皇帝
九难,别名,九难
韦双双,父亲,韦小宝
莫声谷,师兄,宋远桥
仪琳,别名,琳儿
黄真,徒弟,崔希敏和安小慧
程英,表妹,陆无双
阿朱,身份,萧峰爱侣
完颜洪烈,身份,金国六王爷
乌老大,职务,七十二岛主之一
江南七怪,中文名,江南七怪
范文程,逝世日期,1666年（康熙五年）
韦小宝,门派,天地会
乔峰,师父,玄苦
范遥,鄙视的人,婆婆妈妈之人
裘千丈,结局,摔死在铁掌峰下
聂卫平,主要成就,1979-83
全冠清,帮主,汪剑通
查传诗,职业,编辑
司空玄,年龄,男
洪安通,职业,神龙教教主
闵柔,门派,玄素庄
公孙止,性别,男
彭长老,擅长,摄心术
洪凌波,师叔,小龙女
石清,职业,玄素庄主
空智,门派,少林寺
温方山,中文名,温方山
水岱,中文名,水岱
和珅,号,十笏园
云中鹤,笔名,章垿等
陆无双,门派,古墓派
许雪亭,别名,青龙使
林平之,门派,福威镖局
胡斐,身份,华拳门掌门人（临时）
郭襄,世兄,杨过
周伯通,特技,养蜂术
刘正风,武功,百变千幻衡山云雾十三式
阿朱,国籍,大理国
梅芳姑,门派,梅花拳
冯默风,其他名称,冯铁匠
班淑娴,中文名,班淑娴
陈圆圆,字号,圆圆
钟灵,生父,段正淳
陈玄风,师父,黄药师
陈正德,性别,男
陈孤雁,登场作品,《天龙八部》
殷天正,性别,男
武敦儒,登场作品,《神雕侠侣》
玄寂,身份,少林寺戒律院和龙树院首座
完颜洪熙,出生日期,1192
鲁有脚,身份,丐帮长老
左子穆,师弟,容子矩
丁春秋,星宿三宝,三笑逍遥散
金庸,代表作品,天龙八部
九难,徒弟,阿琪
陆无双,师父,李莫愁
李沅芷,小说地位,金庸首部武侠小说中第一个出场的人物
静玄师太,师父,灭绝师太
宝象,师父,血刀老祖
努尔哈赤,出生地,赫图阿拉（今辽宁新宾）
陈孤雁,中文名,陈孤雁
张阿生,中文名,张阿生
郭芙,主要成就,镇守襄阳
木岛主,其他名称,岛主
达尔巴,武功,无上大力金刚杵
一灯大师,国籍,云南大理国
渡难,师侄,空见
武修文,后人,武烈
阿青,国籍,越国
戚芳,师伯,万震山
