陈孤雁,中文名,陈孤雁
戚芳,中文名,戚芳
上官云,性别,男
左冷禅,身份,嵩山派掌门人
李秋水,久居地,逍遥派
白世镜,武功,缠丝擒拿手
云中鹤,笔名,海谷
佟国纲,本名,佟国纲
归辛树,登场作品,《碧血剑》
上官云,身份,光明右使
刘一舟,别名,刘师哥（方怡
福康安,谥号,文襄
韦春花,中文名,韦春花
贝海石,国籍,中国
海兰弼,登场作品,《飞狐外传》
马光佐,中文名,马光佐
万圭,中文名,万圭
哑婆婆,性别,女
胡一刀,武功,胡家刀法
杜治芬,出生地,杭州
李莫愁,年龄,绝情谷去世37岁
玄寂,性别,男
钱永刚,主要成就,计算机应用软件系统的研制
努尔哈赤,别名,[4]
樊一翁,最要成就,西山一窟鬼之首
钟灵,身份,大理国贤妃
苗人凤,性别,男
胡斐,中文名,胡斐
冯蘅,容貌,秀丽绝伦
冯锡范,登场作品,《鹿鼎记》
闵柔,门派,上清观
左冷禅,登场作品,《笑傲江湖》
朱元璋,主要成就,建立明朝
渡难,门派,少林寺
温方山,别名,温家五老
徐志摩,职业,诗人
穆旦,主要成就,在《大公报》和《文聚》上发表诗作
焦宛儿,门派,金龙帮
史火龙,朝代,元朝
钱永刚,职业,教授
包不同,性别,男
温青青,门派,棋仙派
海大富,毒药,化尸粉
穆人清,性别,男
何铁手,擅长,下毒
俞岱岩,性别,男
金庸,代表作品,神雕侠侣
丁春秋,民族,汉族
纪晓芙,别名,芙妹
段正严,出生日期,1083年
杜治芬,中文名,杜治芬
马光佐,职业,武士
郭襄,才艺,棋
焦公礼,出生地,南京
努尔哈赤,主要成就,统一女真诸部
鹤笔翁,武器,鹤嘴双笔
范百龄,爱好,下棋
杨康,别名,完颜康
金花婆婆,中文名,黛绮丝
田伯光,性别,男
石中玉,中文名,石中玉
黄真,其他名称,铜笔铁算盘
完颜萍,民族,女真
洪凌波,中文名,洪凌波
令狐冲,登场作品,《笑傲江湖》
段智兴,中文名,段智兴
耶律洪基,年号,寿昌（1095年）
袁士霄,性别,男
蓝凤凰,别名,蓝教主
耶律重元,民族,契丹
张翠山,登场作品,《倚天屠龙记》
柯镇恶,所属组织,江南七怪
温仪,登场作品,《碧血剑》
何沅君,登场作品,小说《神雕侠侣????》
凌退思,结局,中毒而死
长平公主,封号,长平公主（一说为谥号）
萧峰,性别,男
朱由榔,庙号,昭宗
范文程,逝世日期,1666年（康熙五年）
何沅君,别名,阿沅
胡逸之,其他名称,百胜刀王
任盈盈,别名,姑姑
苏星河,所属门派,逍遥派
余鱼同,人物出处,《书剑恩仇录》
陆无双,别名,双儿
耶律齐,国籍,南宋
裘千尺,出场目次,20
贝海石,别名,贝大夫
李莫愁,武器,拂尘
张无忌,武器,屠龙刀
归辛树,登场作品,《鹿鼎记》
枯荣长老,小说信仰,佛教
一灯大师,名号,“五绝”之南僧
田伯光,主要成就,以闻香识女人的特技“天鼻通”救出被囚禁的恒山群尼
朱九真,年龄,22岁（终年）
石中玉,别名,小石头
卜沉,登场作品,《笑傲江湖》
忽必烈,民族族群,蒙古族
云中鹤,代表作品,再别康桥
闵子叶,中文名,闵子叶
拓跋宏,在位时间,471年9月20日~499年4月26日
石中玉,帮派,长乐帮
乔峰,别名,收起
努尔哈赤,别名,弩尔哈齐
闵子叶,门派,仙都派
阿朱,曾受重伤,大金刚掌掌伤
和珅,号,十笏园
韦春花,别名,花姐
司空玄,性别,男
胡桂南,登场作品,《碧血剑》
公孙绿萼,身份,绝情谷小师妹
空见,朝代,元朝
彭连虎,主要兵器,一对镔铁判官笔
陈正德,武功绝技,三分剑术
谢烟客,登场作品,《侠客行》
孙婆婆,派别,古墓派
马行空,别名,百胜神拳
陈友谅,年号,大定1361-1363
刚相,性别,男
何足道,别名,昆仑三圣
钱均夫,逝世日期,1969年
郭襄,才艺,书
杨不悔,第一次登场,第12章　针其膏兮药其肓
李秋水,绝技,寒袖拂穴
杨溢之,身份,平西王总兵
郭襄,别名,收起
玄苦,中文名,玄苦
乔峰,别名,别名
欧阳锋,登场作品,《射雕英雄传》
殷梨亭,中文名,殷梨亭
欧阳克,性别,男
裘千尺,中文名,裘千尺
陈家洛,登场作品,《书剑恩仇录》
归辛树,门派,华山派
耶律楚材,追赠,广宁王等
朱九真,年龄,17岁（初登场）
风清扬,别名,剑术神通
水笙,性别,女
鹿清笃,性别,男
天山童姥,久居地,灵鹫宫
上官虹,其他名称,金银小剑三娘子
枯荣长老,小说武功,一阳指
石万嗔,登场作品,《雪山飞狐》
